"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Edit","Incremental Find","⌘J","Editing Text"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Redo","⌃X R","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Text Editing","Copy Lines","⌃⌘↓","Editing Text"
"File","New menu","⌃⌘N","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"File","Print","⌥F9","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Text Editing","Previous Word","Esc B","Editing Text"
"Refactor - Java","Extract Method","⌃⌘M","In Windows"
"File","Close All","⌃X ⌃C","In Windows"
"Run/Debug","Run Java Application","⇧⌘X J","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"File","Save","⌃X ⌃S","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Navigate","Next","⌘.","In Windows"
"Quick JUnit","テスティングペアを開く","⌃9","Editing Text"
"File","Close","⌃X K","In Windows"
"File","Save All","⌃X S","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Page Down","⌃V","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Server","Stop","⌃⌘S","In Servers View"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Quick JUnit","JUnit テスト","⌃0","Editing Text"
"Text Editing","Delete Previous","⌃H","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"File","Print","⌘P","In Windows"
"Refactor - Java","Move - Refactoring ","⌃⌘V","In Windows"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥X","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Edit","Find Next","⌘K","Editing Text"
"Text Editing","Line End","⌘→","Editing Text"
"Source","Format","⇧⌘F","Editing Java Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Go to Line","⌃X G","Editing Text"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Text Editing","Set Mark","⌃2","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Edit","Incremental Find","⌃S","Editing Text"
"Refactor - JavaScript","Extract Local Variable","⌃⌘L","JavaScript View"
"Text Editing","Line Start","⌘←","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Quick JUnit","JUnit Plug-in テスト","⌘-","Editing Text"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
